Республика Марий Эл,100.0,18.1,0.1,26.2,2.7,1.3,3.5,9.2,4.8,1.3,2.8,0.2,9.6,1.6,1.3,6.9,4.1,4.7,1.2,0.4,0.0
Республика Мордовия,100.0,14.6,0.0,24.2,3.3,0.5,6.8,9.7,5.4,1.1,2.4,0.2,10.2,2.0,1.7,7.9,3.8,4.8,1.0,0.4,0.0
Республика Татарстан,100.0,5.5,28.7,14.3,1.9,0.4,7.3,10.4,5.8,0.9,2.1,0.3,8.0,3.1,1.5,3.4,2.6,2.3,1.0,0.5,0.0
Удмуртская Республика,100.0,5.8,27.5,18.2,2.3,0.4,4.6,8.1,4.7,0.8,1.4,0.2,8.7,2.3,1.3,4.5,3.2,4.6,0.8,0.6,0.0
Чувашская Республика,100.0,8.2,0.1,25.9,3.5,0.7,5.8,12.5,5.0,1.4,2.7,0.4,12.5,2.8,0.9,6.3,4.3,5.5,0.9,0.6,0.0
Пермский край,100.0,1.7,22.6,28.8,2.4,0.7,4.2,9.3,4.6,0.7,2.4,0.2,7.4,2.6,1.4,4.2,2.6,3.4,0.5,0.3,0.0
Кировская область,100.0,6.9,0.4,26.5,3.4,0.9,4.0,11.8,6.2,1.3,2.1,0.3,11.1,2.1,2.0,8.2,4.4,6.6,1.1,0.7,0.0
Нижегородская область,100.0,2.8,0.1,28.7,3.1,0.7,4.4,16.5,6.4,0.9,3.5,0.2,11.4,5.5,2.5,4.6,3.1,4.1,1.0,0.5,0.0
Оренбургская область,100.0,6.7,40.9,11.5,2.9,0.7,5.9,6.2,4.5,0.8,1.1,0.2,5.4,1.2,1.0,4.1,2.6,3.5,0.5,0.3,0.0
Пензенская область,100.0,15.1,0.2,17.0,2.0,0.5,6.5,14.5,6.6,1.2,2.4,0.2,12.2,3.1,1.7,5.7,3.7,5.9,1.0,0.5,0.0
Самарская область,100.0,3.7,18.8,20.0,2.9,1.2,4.5,10.0,6.8,0.9,2.0,0.3,11.1,4.1,2.4,4.1,2.8,3.4,0.6,0.4,0.0
Саратовская область,100.0,10.5,3.2,18.6,7.7,1.0,6.6,9.1,7.4,1.1,2.2,0.2,9.9,2.5,1.9,6.9,3.8,6.1,0.8,0.5,0.0
Ульяновская область,100.0,5.3,2.2,25.4,2.5,1.0,5.5,11.3,5.8,0.8,2.7,0.2,11.0,2.7,1.9,10.1,4.4,5.5,1.1,0.6,0.0
Уральский федеральный округ,100.0,1.6,44.1,13.3,2.5,0.5,6.0,6.0,5.8,0.6,1.2,0.1,5.3,2.7,1.8,3.1,2.0,2.7,0.5,0.2,0.0
Курганская область,100.0,10.7,1.0,21.1,4.4,0.9,5.1,9.0,9.3,0.8,2.8,0.2,8.1,1.5,1.4,9.6,5.0,7.5,1.2,0.4,0.0
Свердловская область,100.0,2.4,2.1,31.9,3.9,1.1,4.0,12.7,7.5,1.0,2.4,0.2,10.4,4.2,2.0,5.7,3.1,4.1,0.7,0.6,0.0
Тюменская область,100.0,0.6,64.5,4.6,1.9,0.2,6.6,3.2,5.1,0.4,0.6,0.1,3.0,2.1,1.8,1.9,1.3,1.7,0.3,0.1,0.0
автономный округ – Югра,100.0,0.2,72.1,1.7,2.2,0.2,5.3,2.2,4.6,0.4,0.5,0.1,3.1,0.9,1.5,1.6,1.3,1.7,0.3,0.1,0.0
Ямало-Ненецкий автономный округ,100.0,0.1,71.3,4.8,1.2,0.1,8.6,1.7,4.1,0.3,0.4,0.1,0.9,0.8,2.0,1.4,0.8,1.2,0.2,0.0,0.0
Тюменская область без автономных округов,100.0,3.3,18.1,14.6,2.7,0.4,6.9,10.6,9.6,1.2,1.6,0.3,8.2,9.6,2.1,4.1,2.9,2.9,0.6,0.3,0.0
Челябинская область,100.0,5.0,2.5,32.1,3.5,1.0,5.7,10.6,6.8,0.7,2.2,0.2,9.7,3.7,1.8,4.8,3.4,5.1,0.7,0.5,0.0
Сибирский федеральный округ,100.0,4.2,17.7,21.1,3.5,0.5,4.6,9.3,7.9,0.8,1.9,0.2,8.4,2.7,2.5,5.6,3.5,4.4,0.7,0.5,0.0
Республика Алтай,100.0,10.2,0.8,2.9,3.3,0.6,9.0,14.8,5.0,1.8,2.2,0.7,10.1,1.3,1.0,17.0,9.9,7.4,1.7,0.3,0.0
Республика Тыва,100.0,5.0,19.9,0.7,2.2,0.2,6.0,7.0,1.7,0.7,2.1,0.2,8.4,1.0,0.8,18.2,11.8,12.0,1.9,0.2,0.0
Республика Хакасия,100.0,2.7,14.6,18.8,11.8,0.5,4.2,11.5,6.4,1.0,1.7,0.1,7.0,1.3,1.4,7.7,3.5,4.9,0.7,0.2,0.0
Алтайский край,100.0,12.7,0.5,17.8,2.3,0.6,5.3,14.6,5.0,0.9,3.0,0.3,13.0,2.1,2.8,7.1,4.6,5.9,0.8,0.7,0.0
Красноярский край,100.0,2.4,22.4,36.3,3.3,0.4,3.3,5.3,5.2,0.6,1.0,0.1,5.7,1.9,1.5,3.9,2.4,3.2,0.7,0.4,0.0
Иркутская область,100.0,4.4,29.3,9.9,4.4,0.5,6.5,8.2,8.7,0.6,1.3,0.1,6.5,2.1,2.3,6.3,3.3,4.6,0.5,0.5,0.0
Кемеровская область,100.0,2.2,26.3,14.0,4.5,0.8,5.4,10.0,7.1,0.9,1.4,0.2,7.6,2.1,2.0,5.5,3.6,5.4,0.6,0.4,0.0
Новосибирская область,100.0,3.8,3.1,12.9,2.4,0.6,3.9,14.9,15.3,1.1,3.9,0.2,12.5,4.8,5.8,5.1,3.9,4.5,0.8,0.5,0.0
Омская область,100.0,8.0,0.3,33.2,2.0,0.6,4.5,10.2,6.6,1.0,2.0,0.2,10.3,3.2,1.6,6.0,4.1,4.9,0.7,0.6,0.0
Томская область,100.0,3.2,27.5,10.1,2.3,0.6,4.8,8.0,8.3,0.9,1.9,0.2,9.7,4.4,2.2,6.6,3.9,4.3,0.8,0.3,0.0
